country_ID,Year,Month,dist_CHN,reachable_nodes,incloseness,betweenness
36,2018,7,1,37,0.003489894,0
37,2018,7,1,37,0.003445718,0
38,2018,7,,0,0,0
39,2018,7,,0,0,0
40,2018,7,1,37,0.003445718,0
41,2018,7,3,37,0.002306879,0
42,2018,7,,0,0,0
43,2018,7,1,37,0.003445718,0
44,2018,7,,0,0,0
45,2018,7,1,37,0.003445718,0
46,2018,7,,0,0,0
47,2018,7,1,37,0.003445718,0
48,2018,7,1,37,0.003728928,10.75
49,2018,7,1,37,0.003445718,0
50,2018,7,1,37,0.004003114,86.63333333
51,2018,7,,0,0,0
52,2018,7,,0,0,0
53,2018,7,2,37,0.002695166,0
54,2018,7,1,37,0.004187873,27.13333333
55,2018,7,1,37,0.003445718,0
56,2018,7,1,37,0.003728928,21.5
57,2018,7,1,37,0.003445718,0
58,2018,7,1,37,0.004062861,20.45
59,2018,7,,0,0,0
60,2018,7,1,37,0.003445718,0
61,2018,7,,0,0,0
62,2018,7,,0,0,0
63,2018,7,,0,0,0
64,2018,7,,0,0,0
65,2018,7,,0,0,0
66,2018,7,,0,0,0
67,2018,7,,0,0,0
68,2018,7,,0,0,0
69,2018,7,,0,0,0
70,2018,7,2,37,0.003058559,4.316666667
1,2019,7,1,37,0.003535217,0
2,2019,7,,0,0,0
3,2019,7,1,37,0.003535217,0
4,2019,7,,0,0,0
5,2019,7,1,37,0.003888739,2.383333333
6,2019,7,1,37,0.003535217,0
7,2019,7,,0,0,0
8,2019,7,,0,0,0
9,2019,7,,0,0,0
10,2019,7,,0,0,0
11,2019,7,,0,0,0
12,2019,7,1,37,0.004253308,84.6
13,2019,7,1,37,0.003535217,0
14,2019,7,0,37,0.006481231,1068.566667
15,2019,7,,0,0,0
16,2019,7,2,37,0.002791695,0
17,2019,7,1,37,0.00412442,153.85
18,2019,7,1,37,0.003535217,0
19,2019,7,,0,0,0
20,2019,7,1,37,0.003581733,0
21,2019,7,1,37,0.003678537,0
22,2019,7,1,37,0.003535217,0
23,2019,7,2,37,0.002958823,8.416666667
24,2019,7,1,37,0.003728928,3.333333333
25,2019,7,1,37,0.004536862,193.05
26,2019,7,1,37,0.003535217,0
27,2019,7,,0,0,0
28,2019,7,2,37,0.002791695,0
29,2019,7,,0,0,0
30,2019,7,1,37,0.003833968,0.8
31,2019,7,,0,0,0
32,2019,7,2,37,0.002777671,0
33,2019,7,1,37,0.003535217,0
34,2019,7,,0,0,0
35,2019,7,,0,0,0
36,2019,7,1,37,0.003581733,0
37,2019,7,1,37,0.003535217,0
38,2019,7,,0,0,0
39,2019,7,,0,0,0
40,2019,7,1,37,0.003535217,0
41,2019,7,2,37,0.002865387,0
42,2019,7,,0,0,0
43,2019,7,1,37,0.003581733,0
44,2019,7,,0,0,0
45,2019,7,1,37,0.003535217,0
46,2019,7,,0,0,0
47,2019,7,,0,0,0
48,2019,7,1,37,0.003780718,3.166666667
49,2019,7,1,37,0.003535217,0
50,2019,7,1,37,0.004062861,70.93333333
51,2019,7,,0,0,0
52,2019,7,1,37,0.003535217,0
53,2019,7,2,37,0.002695166,0
54,2019,7,1,37,0.004187873,14.41666667
55,2019,7,,0,0,0
56,2019,7,1,37,0.003728928,0
57,2019,7,1,37,0.003581733,0
58,2019,7,1,37,0.004062861,7.35
59,2019,7,1,37,0.003535217,0
60,2019,7,2,37,0.002777671,2.4
61,2019,7,,0,0,0
62,2019,7,,0,0,0
63,2019,7,,0,0,0
64,2019,7,,0,0,0
65,2019,7,,0,0,0
66,2019,7,,0,0,0
67,2019,7,,0,0,0
68,2019,7,,0,0,0
69,2019,7,,0,0,0
70,2019,7,2,37,0.003093315,4.733333333
1,2020,7,1,39,0.00383921,0
2,2020,7,,0,0,0
3,2020,7,1,39,0.003698752,0
4,2020,7,,0,0,0
5,2020,7,1,39,0.004098617,5.088278388
6,2020,7,1,39,0.003698752,0
7,2020,7,,0,0,0
8,2020,7,3,39,0.00238411,0
9,2020,7,,0,0,0
10,2020,7,2,39,0.002904279,0
11,2020,7,,0,0,0
12,2020,7,1,39,0.004395618,98.22161172
13,2020,7,1,39,0.003698752,0
14,2020,7,0,39,0.006739947,1329.668254
15,2020,7,2,39,0.002904279,0
16,2020,7,2,39,0.002930924,0
17,2020,7,1,39,0.004271798,310.8298535
18,2020,7,1,39,0.003698752,0
19,2020,7,,0,0,0
20,2020,7,1,39,0.00383921,67.54285714
21,2020,7,1,39,0.00383921,0
22,2020,7,,0,0,0
23,2020,7,2,39,0.003063612,9.954761905
24,2020,7,1,39,0.003990758,4.833333333
25,2020,7,1,39,0.004666117,235.1687424
26,2020,7,1,39,0.003698752,0
27,2020,7,1,39,0.003698752,0
28,2020,7,2,39,0.002904279,0
29,2020,7,1,39,0.003698752,0
30,2020,7,1,39,0.004043968,2.069047619
31,2020,7,,0,0,0
32,2020,7,2,39,0.002888549,0
33,2020,7,1,39,0.003698752,0
34,2020,7,,0,0,0
35,2020,7,,0,0,0
36,2020,7,2,39,0.002888549,1
37,2020,7,1,39,0.003698752,0
38,2020,7,,0,0,0
39,2020,7,3,39,0.00238411,0
40,2020,7,1,39,0.003698752,0
41,2020,7,2,39,0.002973506,0
42,2020,7,,0,0,0
43,2020,7,1,39,0.003744415,0
44,2020,7,2,39,0.002904279,0
45,2020,7,1,39,0.003698752,0
46,2020,7,,0,0,0
47,2020,7,2,39,0.002904279,0
48,2020,7,1,39,0.003990758,6.035897436
49,2020,7,1,39,0.003698752,0
50,2020,7,1,39,0.004271798,80.71446886
51,2020,7,,0,0,0
52,2020,7,1,39,0.003698752,0
53,2020,7,2,39,0.002834557,0
54,2020,7,1,39,0.004332823,35.98827839
55,2020,7,,0,0,0
56,2020,7,1,39,0.003888431,0
57,2020,7,1,39,0.003744415,0
58,2020,7,1,39,0.004212467,12.63461538
59,2020,7,1,39,0.003698752,0
60,2020,7,2,39,0.002916323,2.333333333
61,2020,7,,0,0,0
62,2020,7,,0,0,0
63,2020,7,1,39,0.003698752,0
64,2020,7,,0,0,0
65,2020,7,,0,0,0
66,2020,7,,0,0,0
67,2020,7,,0,0,0
68,2020,7,,0,0,0
69,2020,7,,0,0,0
70,2020,7,2,39,0.003192607,118.9166667
1,2021,7,2,37,0.002764852,0
2,2021,7,,0,0,0
3,2021,7,1,37,0.003360639,0
4,2021,7,,0,0,0
5,2021,7,1,37,0.003678537,3.873722944
6,2021,7,,0,0,0
7,2021,7,,0,0,0
8,2021,7,3,37,0.002264131,0
9,2021,7,,0,0,0
10,2021,7,,0,0,0
11,2021,7,,0,0,0
12,2021,7,1,37,0.004062861,93.45202464
13,2021,7,,0,0,0
14,2021,7,0,37,0.005917646,1150.213157
15,2021,7,2,37,0.002764852,0
16,2021,7,2,37,0.002806306,3.403076923
17,2021,7,1,37,0.004062861,426.7537962
18,2021,7,1,37,0.003360639,0
19,2021,7,,0,0,0
20,2021,7,1,37,0.003445718,0
21,2021,7,1,37,0.003581733,0
22,2021,7,1,37,0.003360639,0
23,2021,7,2,37,0.002835539,8.669047619
24,2021,7,1,37,0.00362949,4.533333333
25,2021,7,1,37,0.004253308,155.4790543
26,2021,7,,0,0,0
27,2021,7,1,37,0.003360639,0
28,2021,7,2,37,0.002764852,0
29,2021,7,1,37,0.003360639,0
30,2021,7,1,37,0.00362949,1.338008658
31,2021,7,,0,0,0
32,2021,7,2,37,0.002695166,0
33,2021,7,1,37,0.003360639,0
34,2021,7,,0,0,0
35,2021,7,,0,0,0
36,2021,7,1,37,0.003489894,3.285714286
37,2021,7,1,37,0.003360639,0
38,2021,7,2,37,0.002764852,0
39,2021,7,3,37,0.002326596,43.33333333
40,2021,7,1,37,0.003360639,0
41,2021,7,,0,0,0
42,2021,7,,0,0,0
43,2021,7,1,37,0.003402647,0
44,2021,7,2,37,0.002764852,0
45,2021,7,1,37,0.003360639,0
46,2021,7,2,37,0.002764852,0
47,2021,7,2,37,0.002764852,0
48,2021,7,1,37,0.003581733,4.776017316
49,2021,7,,0,0,0
50,2021,7,1,37,0.003888739,77.61649351
51,2021,7,1,37,0.003360639,0
52,2021,7,1,37,0.003360639,0
53,2021,7,2,37,0.002806306,85.70153846
54,2021,7,1,37,0.004003114,23.53004662
55,2021,7,,0,0,0
56,2021,7,1,37,0.003489894,0
57,2021,7,1,37,0.003402647,0
58,2021,7,1,37,0.003888739,11.92775225
59,2021,7,1,37,0.003360639,0
60,2021,7,2,37,0.002668742,2.333333333
61,2021,7,,0,0,0
62,2021,7,,0,0,0
63,2021,7,1,37,0.003360639,0
64,2021,7,,0,0,0
65,2021,7,,0,0,0
66,2021,7,,0,0,0
67,2021,7,,0,0,0
68,2021,7,,0,0,0
69,2021,7,,0,0,0
70,2021,7,2,37,0.003024575,102.7805495
1,2022,7,1,38,0.003639805,0
2,2022,7,2,38,0.002834557,0
3,2022,7,1,38,0.00342315,0
4,2022,7,,0,0,0
5,2022,7,1,38,0.003734346,3.567832168
6,2022,7,,0,0,0
7,2022,7,,0,0,0
8,2022,7,,0,0,0
9,2022,7,,0,0,0
10,2022,7,,0,0,0
11,2022,7,,0,0,0
12,2022,7,1,38,0.004167314,97.20300255
13,2022,7,1,38,0.00342315,0
14,2022,7,0,38,0.005990513,1180.23037
15,2022,7,,0,0,0
16,2022,7,2,38,0.002846977,23.33333333
17,2022,7,1,38,0.004167314,475.0218004
18,2022,7,1,38,0.00342315,0
19,2022,7,,0,0,0
20,2022,7,1,38,0.003464393,0
21,2022,7,2,38,0.002834557,0
22,2022,7,1,38,0.00342315,0
23,2022,7,2,38,0.002819065,0
24,2022,7,1,38,0.003639805,4.833333333
25,2022,7,1,38,0.004356737,225.4931291
26,2022,7,,0,0,0
27,2022,7,1,38,0.00342315,0
28,2022,7,2,38,0.002834557,0
29,2022,7,1,38,0.00342315,0
30,2022,7,1,38,0.003734346,3.567832168
31,2022,7,,0,0,0
32,2022,7,2,38,0.002764852,0
33,2022,7,1,38,0.00342315,0
34,2022,7,,0,0,0
35,2022,7,,0,0,0
36,2022,7,1,38,0.003464393,0
37,2022,7,1,38,0.00342315,0
38,2022,7,2,38,0.002834557,0
39,2022,7,3,38,0.00212996,43.33333333
40,2022,7,1,38,0.00342315,0
41,2022,7,2,38,0.002819065,0
42,2022,7,2,38,0.002834557,0
43,2022,7,1,38,0.003506642,0
